Nombre;Departamento/Provincia;Ciudad/Localidad;Dirección;latitud;Longitud;maps
03.1.SASPY CARE;Central;08. Lambaré;Jose Ma. Aguirre c/ Cacique Lambaré;;;
00. CENTRO DISTRIBUCION;Central;10. Luque;A una cuadra de la calle 10 de Julio, Jaguarete Kora, Luque;-25,27955;-57,468628;https://maps.app.goo.gl/HTuZKEsKe1ydNuMR6?g_st=iw
01.3.SASPY SHOP;Asunción;Asunción;.;-25,298273;-57,569916;https://maps.app.goo.gl/r1ibQuR2fd4WPNT7A
01.2.AUTO SASPY;Asunción;Asunción;Nicanor Torales 137 c/ Mariscal López;-25,298273;-57,569916;https://maps.app.goo.gl/r1ibQuR2fd4WPNT7A
02. MICROCENTRO;Asunción;Asunción;Colon c/ Haedo;-25,280873;-57,643011;https://maps.app.goo.gl/6hiZ5Ak1ZtSvtnfR9
03. LAMBARE (PUEBLO);Central;08. Lambaré;Avda. República Argentina y Paz del Chaco, Paseo Lambaré Shopping Local 124;-25,33496;-57,61301;https://maps.app.goo.gl/6cWHdFFndERdo3WX7
04. LUQUE;Central;10. Luque;Av. Gral. Aquino casi Ladislao Orrego y Tte. Rivas.;-25,264407;-57,508291;https://maps.app.goo.gl/R4C355gQbWWAFxbu7
05. ENCARNACION;Itapúa;10. Encarnación;Carlos Gonzalez Arias entre Próceres de Mayo y Avda. San Roque Gonzáles de Santacruz,;-27,33056;-55,86667;https://maps.app.goo.gl/AYJYvgGdPGXJ7dFs5
06. CIUDAD DEL ESTE;Alto Paraná;01. Ciudad del Este;Curupayty e/ Eusebio Ayala;-25,513817;-54,612832;https://maps.app.goo.gl/jkQfAux8gp5fsr9q8
07. ALBERDI;Neembucú;01. Alberdi;12 de Octubre 221 casi Av. Soldado Paraguayo;-26,182827;-58,140712;https://maps.app.goo.gl/AwgtQwvjhYcmV833A
08. SALTO DEL GUAIRA;Canindeyú;11. Salto del Guairá;Ruta PY 03, Avda. Paraguay entre Avda. Itaipú y Veteranos del 47 - Galería Roma Salto del Guairá - Canindeyú;-24,05119;-54,306242;https://maps.app.goo.gl/ukiPyRy9T2YsF7nN9
09.PEDRO JUAN CABALLERO;Amambay;05. Pedro Juan Caballero;An. Carlos Domingues casi Natalicio Talavera;-22,545081;-55,730933;https://maps.app.goo.gl/Mdu5sU4JVXR7px4P9
10. SAN LORENZO;Central;15. San Lorenzo;Julia Miranda Cueto N° 788 (Edificio El Mirador);-25.342.547;-57.504.911;https://maps.app.goo.gl/LUNsvjvBGN5KTsGo6
11. SANTA RITA;Alto Paraná;19. Santa Rita;Eusebio Ayala casi Av. Gaspar Rodriguez de Francia;-25,79397;-55,086378;https://maps.app.goo.gl/m9ivVUuGkoFat5du5
12. VILLARRICA;Guairá;17. Villarrica;Calle Carlos A. Lopez entre Curupayty y Cristóbal Colón;-25,778407;-56,446668;https://maps.app.goo.gl/Zf9Qx4SpUGe9Ve4E7
01.1.MARISCAL LOPEZ;Asunción;Asunción;Mariscal López N°4693 y Nicanor Torales;-25,298273;-57,569916;https://maps.app.goo.gl/r1ibQuR2fd4WPNT7A
(Locker) Virgen del Rosario Centro;Central;10. Luque;Javier Bogarin c/ 14 de mayo;-25,270895;-57,488785;https://maps.app.goo.gl/PuS7mZ9f5vTe1BBZ9
(Locker) Superseis Yacht;Central;08. Lambaré;Avda. del Yacht entre Manuel Gondra y Onofre Gomez;-25,359083;-57,627652;https://maps.app.goo.gl/Md77WwqMoaHBUcWx5
(Locker) Superseis Villeta;Central;17. Villeta;Ruta D071 casi Asunción;-25,508511;-57,559174;https://maps.app.goo.gl/C32UWCqMzTch9skU6
(Locker) Superseis Villarrica *24/7;Guairá;17. Villarrica;Acuña de Figueroa y Boulevard Río Apa;-25,76735891;-56,44141251;https://maps.app.goo.gl/DhoD9q27M5UtfJCZ6
(Locker) Superseis Villa Morra (Mcal. Lopez);Asunción;Asunción;Avda. Mariscal Lopez e/ Juan S Bogarin;-25,29355655;-57,5823834;https://maps.app.goo.gl/BZTdAypzEKRoDVZDA
(Locker) Superseis Total;Asunción;Asunción;Av. Carlos A. López casi Colón;-25,2880173;-57,6493239;https://maps.app.goo.gl/nPZuhdZYhyvzrYGCA
(Locker) Superseis Sirio;Central;08. Lambaré;Avda. Luis Maria Argaña e/ Avda. Las Palmas y Porvenir;-25,33458638;-57,62491107;https://maps.app.goo.gl/T2KG51qHTf2CvQweA
(Locker) Superseis San Lorenzo;Central;15. San Lorenzo;Intersección Ruta 1 y Ruta 2 (Julia Miranda Cueto), Central, San Lorenzo;-25,3429738;-57,5018456;https://maps.app.goo.gl/vfjhcLEYrhHiFZYg9
(Locker) Superseis Primer Presidente;Asunción;Asunción;Avda. Primer Presidente e/ Gabriel Casaccia;-25,2640444;-57,55754742;https://maps.app.goo.gl/XfBW4w51S3Mdtm7K7
(Locker) Superseis Presidente Franco;Alto Paraná;15. Presidente Franco;Super Carretera y Palmera, San Lorenzo, Presidente Franco;-25,54745574;-54,6300745;https://maps.app.goo.gl/3sEtULd47nfftLbd8
(Locker) Superseis Ñemby;Central;12. Ñemby;Avenida Acceso Sur y Bernardino Caballero, Central, Ñemby;-25,3934509;-57,5440193;https://maps.app.goo.gl/vGpTZTdZ1aZHjCRM7
(Locker) Superseis Mundi Mark;Asunción;Asunción;Avda. España y Pitiantuta, Barrio Jara, Asunción;-25,2874104;-57,6058491;https://maps.app.goo.gl/6ab7pg8z5xxXENcn9
(Locker) Superseis Mburucuya;Asunción;Asunción;Avda. Santísima Trinidad y Julio Correa, Mbucuya, Asunción;-25,2702565;-57,5629748;https://maps.app.goo.gl/dWXwwmeN2ppj3KXu7
(Locker) Superseis Laurelty;Central;10. Luque;Cap. Andress Insfran y Puerto Pinasco, Hugua De Seda, Luque;-25,2895125;-57,5003281;https://maps.app.goo.gl/6PYWvCMLxU763s7cA
(Locker) Superseis La Negrita;Asunción;Asunción;Av. Eusebio Ayala y Vice Pdte Sanchez;-25,30135511;-57,61747599;https://maps.app.goo.gl/nwq7oYAv67X46TiX7
(Locker) Superseis Japon;Asunción;Asunción;Avda. Félix Bogado y Japón, Barrio San Vicente, Asuncion;-25,318531;-57,6297912;https://maps.app.goo.gl/wsoHrvQyyQG5snX97
(Locker) Superseis Gran Union;Asunción;Asunción;Av. Santísimo Sacramento y Mariscal Lopez;-25,2894812;-57,590135;https://maps.app.goo.gl/4kXhemJQi9CC81F49
(Locker) Superseis España;Asunción;Asunción;Avda. España casi Brasil, Barrio San Roque, Asunción;-25,2857625;-57,6208594;https://maps.app.goo.gl/iT2yboiFXsTfvXgG9
(Locker) Superseis Encarnación - Irrazábal;Itapúa;10. Encarnación;Av. Irrazabal y Gral Burguez, Poliy, Encarnación.;-27,3404617;-55,8573341;https://maps.app.goo.gl/JWntvsmgK2CaFNoV9
(Locker) Superseis El Portal - Loma Pytã;Central;Loma Pyta;Ruta PY03 casi Josefina Pla - Shopping El Portal, Loma Pyta, Asunción;-25,23873803;-57,54209003;https://maps.app.goo.gl/5iMTBX6TWyA4WWmP9
(Locker) Superseis Costanera Encarnación;Itapúa;10. Encarnación;Ruta 1 Mcal. Francisco Solano López esq. 3° Proyectada, Itapua, Encarnación;-27,32392813;-55,87382555;https://maps.app.goo.gl/wzSb55tqB6nJJhpYA
(Locker) Superseis Camba Cuá;Central;03. Fernando de la Mora;Av. Mcal. Lopez esq. Cnel. Cazal, al lado del Hospital de Clínicas - Laguna Grande, Central;-25,320883;-57,523963;https://maps.app.goo.gl/VS6vSEKRwbuRSPDY6
(Locker) Superseis Caacupé;Cordillera;04. Caacupé;Ruta 2 y Av. del Agricultor, Caacupe;-25,3893125;-57,1508281;https://maps.app.goo.gl/j4UNM1SpJL1JwNs7A
(Locker) Superseis Boquerón;Asunción;Asunción;RI6 Boquerón y Dr. Benigno Ferreira, Mariscal Jose Felix Estigarribia, Asuncion,;-25,30393519;-57,57458746;https://maps.app.goo.gl/y2YZH7hSNkoDPPWn6
(Locker) Superseis Bella Vista;Central;10. Luque;C. Valois Rivarola y Fulgencio Yegros, Central, Luque;-25,2623908;-57,4899101;https://maps.app.goo.gl/5kwxkvj2pca7NyRM7
(Locker) Superseis Areguá;Central;01. Areguá;Ruta Areguá Patiño y Carlos Antonio Lopez, Santo Domingo, Areguá.;-25,3111875;-57,3797656;https://maps.app.goo.gl/gT3vBB34U7DRcxnb9
(Locker) Superseis 3 de Febrero CDE;Alto Paraná;01. Ciudad del Este;Chaco Boreal y Eugenio A. Garay, 3 de Febrero, Ciudad del Este;-25,5254125;-54,6132344;https://maps.app.goo.gl/jUC58qAtnfXdEhhA6
(Locker) Stock Villa Elisa;Central;16. Villa Elisa;Avda. Von Poleski e/ Colombia, Central, Villa Elisa;-25,36724508;-57,58627947;https://maps.app.goo.gl/KcGn9khf6j526SGx6
(Locker) Stock Santani;San Pedro;11. San Estanislao;Teniente Adolfo Melo y Boquerón;-24,6651875;-56,4395156;https://maps.app.goo.gl/FefWnfvxbCE4NTW57
(Locker) Stock San Ignacio Misiones;Misiones;02. San Ignacio;Mcal. Lopez casi Py01;-26,88764592;-57,02563047;https://maps.app.goo.gl/4CrysMXhm7tsstmM8
(Locker) Stock Pitiantuta Fdo Zona Sur;Central;03. Fernando de la Mora;Avda. Pitiantuta esq. Asunción, Central, Fdo De La Mora (Zona Sur);-25,3361527;-57,555353;https://maps.app.goo.gl/2Kx2s3VfSGwCR9Ng7
(Locker) Stock Piquete Cue;Central;09. Limpio;Av San Jose casi Coronel Carlos Garcete;-25,1601098;-57,4748428;https://maps.app.goo.gl/JxvtQatDfHvFg2PG7
(Locker) Stock Ortiz Guerrero;Central;12. Ñemby;Manuel Ortiz Guerrero;-25,3650375;-57,5162656;https://maps.app.goo.gl/ZgNg7fZPiYMST6h18
(Locker) Stock Mariano 2;Central;11. Mariano Roque Alonso;Ruta Transchaco esq. Boqueron, Central, Mariano R. Alonso;-25,2128032;-57,5284629;https://maps.app.goo.gl/6ehuqUSu3BGwNvYX7
(Locker) Stock J. Augusto Saldivar II;Central;07. Julián Augusto Saldivar;Ruta Departamentar D027 y Mbocayaty;-25,4416875;-57,4427656;https://maps.app.goo.gl/mUyPdiGSHfYDm7xo7
(Locker) Stock Ita;Central;05. Itá;Ruta Depatamental D027 y Curupayty;-25,50588322;-57,36442566;https://maps.app.goo.gl/iHC7DfDEqgtpVVoc8
(Locker) Stock Hernandarias;Alto Paraná;05. Hernandarias;Supercarretera entre Pilar y Concepción, Hernandarias, Alto Paraná;-25,4089131;-54,6322714;https://maps.app.goo.gl/4n6vhk4eozTG2Atj8
(Locker) Stock Guarambaré 24/7;Central;04. Guarambaré;Ruta Guarambaré - Villeta y Acceso Sur,;-25,49676394;-57,47344319;https://maps.app.goo.gl/JZWRxakxPCDemaRs5
(Locker) Stock Fdo de la Mora;Central;03. Fernando de la Mora;Avda. Mcal. López e Insaurralde, Central, Fdo. de la Mora (Zona Norte);-25,3060104;-57,5338693;https://maps.app.goo.gl/cptNeRCRxP6mo4th7
